"hgb_fs_item_de","hgb_fs_item_en","account_usage_type","account_number","account_name_de","account_name_en","account_class","account_group_de","account_group_en","account_flags","is_range","range_start","range_end","is_postable"
"Rückständige fällige Einzahlungen auf Geschäftsanteile","Outstanding payments due on shares",,"0005 00","Rückständige fällige Einzahlungen auf Geschäftsanteile","Outstanding payments due on shares",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten","Concessions, industrial property rights and similar rights and values acquired against payment, as well as licenses for such rights and assets.",,"0010 00","Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten","Concessions, industrial property rights and similar rights and values acquired against payment, as well as licenses for such rights and assets",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten","Concessions, industrial property rights and similar rights and values acquired against payment, as well as licenses for such rights and assets.",,"0015 00","Konzessionen","concessions",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten","Concessions, industrial property rights and similar rights and values acquired against payment, as well as licenses for such rights and assets.",,"0020 00","Gewerbliche Schutzrechte","industrial property rights",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten","Concessions, industrial property rights and similar rights and values acquired against payment, as well as licenses for such rights and assets.",,"0025 00","Ähnliche Rechte und Werte","Similar rights and values",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten","Concessions, industrial property rights and similar rights and values acquired against payment, as well as licenses for such rights and assets.",,"0027 00","EDV-Software","computer software",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten","Concessions, industrial property rights and similar rights and values acquired against payment, as well as licenses for such rights and assets.",,"0030 00","Lizenzen an gewerblichen Schutzrechten und ähnlichen Rechten und Werten","Licensing of industrial property rights and similar rights and assets",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Geschäfts- oder Firmenwert","Goodwill",,"0035 00","Geschäfts- oder Firmenwert","Goodwill",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Geleistete Anzahlungen","Deposits made",,"0038 00","Anzahlungen auf Geschäfts- oder Firmenwert","Goodwill or goodwill deposits",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Geleistete Anzahlungen","Deposits made",,"0039 00","Geleistete Anzahlungen auf immaterielle Vermögensgegenstände","Down payments made on intangible assets",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Geschäfts- oder Firmenwert","Goodwill","R","0040 00","Geleistete Anzahlungen auf immaterielle Vermögensgegenstände","Down payments made on intangible assets",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"true","0040 00",,"false"
"Selbst geschaffene gewerbliche Schutzrechte und ähnliche Rechte und Werte","Self-created industrial property rights and similar rights and values","HB","0043 00","Selbst geschaffene immaterielle Vermögensgegenstände","Self-created intangible assets",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Selbst geschaffene gewerbliche Schutzrechte und ähnliche Rechte und Werte","Self-created industrial property rights and similar rights and values","HB","0044 00","EDV-Software","computer software",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Selbst geschaffene gewerbliche Schutzrechte und ähnliche Rechte und Werte","Self-created industrial property rights and similar rights and values","HB","0045 00","Lizenzen und Franchiseverträge","Licenses and franchise agreements",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Selbst geschaffene gewerbliche Schutzrechte und ähnliche Rechte und Werte","Self-created industrial property rights and similar rights and values","HB","0046 00","Konzessionen und gewerbliche Schutzrechte","Concessions and industrial property rights",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Selbst geschaffene gewerbliche Schutzrechte und ähnliche Rechte und Werte","Self-created industrial property rights and similar rights and values","HB","0047 00","Rezepte, Verfahren, Prototypen","Recipes, processes, prototypes",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"In der Entwicklung befindliche immaterielle Vermögensgegen- stände","Intangible assets under development","HB","0048 00","Immaterielle Vermögensgegenstände in Entwicklung","Intangible assets in development",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken","Land, rights equivalent to real estate and buildings, including buildings on other people's land",,"0050 00","Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken","Land, rights equivalent to real estate and buildings, including buildings on other people's land",0,"Anlage- und Kapitalkonten","Fixed assets and equity accounts",,"false",,,"true"
